Бренд,Артикул,Наименование,Категория (конечная)
DKC,71525,Труба гофрированная ПНД 25 мм с протяжкой тяжелая оранжевая (50м),Трубы ПНД
DKC,91925,Труба гофрированная ПВХ 25 мм с протяжкой легкая серая (50м),Трубы ПВХ
DKC,11920,Труба гофрированная ППЛ 20мм с протяжкой легкая синяя 100м,Полипропиленовые трубы
DKC,91920,Труба гофрированная ПВХ 20 мм с протяжкой легкая серая (100м),Трубы ПВХ
DKC,71925,Труба гофрированная ПНД 25 мм с протяжкой оранжевая (50м),Трубы ПНД
DKC,57016,Труба армированная гибкая 16 мм (30м),Армированые трубы ПВХ
DKC,91525,Труба гофрированная ПВХ 25 мм с протяжкой тяжелая серая (50м),Трубы ПВХ
DKC,91940,Труба гофрированная ПВХ 40 мм с протяжкой легкая серая (20м),Трубы ПВХ
DKC,91520,Труба гофрированная ПВХ 20 мм с протяжкой тяжелая серая (100м),Трубы ПВХ
DKC,54925,Муфта труба-труба с ограничителем 25 мм IP40,Муфты и соединители для труб
DKC,63925,Труба гладкая жесткая ПВХ 25 мм легкая серая (3м),Трубы жесткие
DKC,63916,Труба гладкая жесткая ПВХ 16 мм легкая серая (3м),Трубы жесткие
DKC,51320,Держатель для труб 20 мм в комплекте с защелкой и дюбелем,Аксессуары к кабеленесущим системам
DKC,11916,Труба гофрированная ППЛ 16 мм с протяжкой легкая синяя (100м),Полипропиленовые трубы
DKC,71520,Труба гофрированная ПНД 20 мм с протяжкой тяжелая оранжевая (100м),Трубы ПНД
DKC,71716,Труба гофрированная ПНД 16мм с протяжкой легкая черная 100м,Трубы ПНД
DKC,53359,Скоба металлическая 32мм двухлапковая оцинкованная,Скобы металлические
DKC,71720,Труба гофрированная ПНД 20 мм с протяжкой легкая черная (100м),Трубы ПНД
DKC,71920,Труба гофрированная ПНД 20 мм с протяжкой оранжевая (100м),Трубы ПНД
DKC,91516,Труба гофрированная ПВХ 16мм с протяжкой тяжелая серая 100м,Трубы ПВХ
DKC,9192025,Труба гофрированная ПВХ 20 мм с протяжкой легкая серая (25м),Трубы ПВХ
DKC,51125,Держатель двухкомпонентный 25 мм для труб,Держатели и крепления для труб
DKC,9191625,Труба гофрированная ПВХ 16 мм с протяжкой легкая серая (25м),Трубы ПВХ
DKC,51040,Держатель с защелкой 40 мм для труб,Держатели и крепления для труб
DKC,51116,Держатель двухкомпонентный 16 мм для труб,Держатели и крепления для труб
DKC,53357,Скоба металлическая 26мм двухлапковая оцинкованная,Скобы металлические
DKC,53342,Скоба металлическая 19мм однолапковая оцинкованная,Скобы металлические
DKC,53341,Скоба металлическая 16мм однолапковая оцинкованная,Скобы металлические
DKC,54920,Муфта труба-труба с ограничителем 20 мм IP40,Муфты и соединители для труб
DKC,51016M,Держатель-клипса быстрого монтажа диаметр 16 мм,Держатели и крепления для труб
DKC,51020M,Держатель-клипса быстрого монтажа диаметр 20 мм,Держатели и крепления для труб
DKC,RN5EUUA01GY,Витая пара CAT 5e U/UTP нг(А)-HF бухта 305м серый,Кабель витая пара
DKC,CM120600,Шайба М6 кузовная DIN9021,Метизы и крепежные изделия для кабеленесущих систем
DKC,CM100600,Гайка М6 с насечкой препятствующей откручиванию (200 шт),Метизы и крепежные изделия для кабеленесущих систем
DKC,CM110800,Гайка шестигранная М8,Метизы и крепежные изделия для кабеленесущих систем
DKC,CM100800,Гайка М8 с насечкой препятствующей откручиванию (100 шт),Метизы и крепежные изделия для кабеленесущих систем
DKC,CM010616,Винт М6х16 с гладкой головкой и квадратным подголовником,Метизы и крепежные изделия для кабеленесущих систем
DKC,CM050620,Винт М6х20 для механического соединения элементов,Метизы и крепежные изделия для кабеленесущих систем
DKC,CM121000,Шайба М10 кузовная DIN9021,Метизы и крепежные изделия для кабеленесущих систем
DKC,CM170600,Шайба для соединения проволoчного лотка (в соединении с винтом М6х20),Метизы и крепежные изделия для кабеленесущих систем
DKC,CM030508,Винт М5х8 для электрического соединения,Метизы и крепежные изделия для кабеленесущих систем
DKC,00317,Миниканал TMC 22x10,Миниканалы
DKC,CM010620,Винт М6х20 с гладкой головкой и квадратным подголовником,Метизы и крепежные изделия для кабеленесущих систем
DKC,CM350001,Комплект крепежный №1 для монтажа проволочного лотка,Аксессуары к кабеленесущим системам
DKC,35520,Крышка на лоток 50 мм L=3000мм с заземлением,Крышки оцинкованные (метод Сендзимира)
DKC,00303,Миниканал TMC 15x17,Миниканалы
DKC,FC37311,Пластина для подвеса проволочного лотка на шпильке,Полки и стойки оцинкованные (метод Сендзимира)
DKC,CM041030,Винт для крепления к С-образному профилю М10х30,Метизы и крепежные изделия для кабеленесущих систем
DKC,36480,Перегородка SEP L3000 Н50,Разделители и перегородки
DKC,35522,Крышка на лоток 100 мм L=3000мм с заземлением,Крышки оцинкованные (метод Сендзимира)
DKC,SPL3510,Лоток перфорированный 100х50х3000 0.6мм S3,Листовые лотки оцинкованные (метод Сендзимира)
DKC,00351,Миниканал TMC 40x17,Миниканалы
DKC,LP1000,Прижим лотка лестничного,Аксессуары вспомогательные для кабеленесущих систем
DKC,00304,Кабель-канал 25/1x17 TMC IN-Liner,Миниканалы
DKC,CM210825,Гайка соединительная М8х25,Метизы и крепежные изделия для кабеленесущих систем
DKC,37501,Никелированная пластина для заземления PTCE,Аксессуары вспомогательные для кабеленесущих систем
DKC,CM350003,Комплект крепежный №3 для монтажа проволочного лотка,Метизы и крепежные изделия для кабеленесущих систем
DKC,CM101000,Гайка М10 с насечкой препятствующей откручиванию,Метизы и крепежные изделия для кабеленесущих систем
DKC,CM020860,Болт с шестигранной головкой и неполной           резьбой М8х60 (50шт),Метизы и крепежные изделия для кабеленесущих систем
DKC,CM06522,Саморез 4.5х40мм с дюбелем V6,Аксессуары к кабеленесущим системам
DKC,CM010610HDZ,Винт М6х10 с крестообразным шлицем HDZ,Метизы и крепежные изделия для кабеленесущих систем
DKC,CM120800,Шайба М8 кузовная DIN9021,Метизы и крепежные изделия для кабеленесущих систем
DKC,CM220600,Шайба М6 стопорная,Метизы и крепежные изделия для кабеленесущих систем
DKC,CM111000,Гайка шестигранная М10,Метизы и крепежные изделия для кабеленесущих систем
DKC,CM100600HDZ,"Гайка с насечкой, препятствующей откручиванию М6, горячеоцинкованная",Метизы и крепежные изделия для кабеленесущих систем
DKC,CM010610,Винт М6х10 с крестообразным шлицем (200 шт),Метизы и крепежные изделия для кабеленесущих систем
DKC,CM110600,Гайка шестигранная М6,Метизы и крепежные изделия для кабеленесущих систем
DKC,NC2444,Полоса 40х4 горячеоцинкованная,Устройства молниезащиты
DKC,NC1008,Пруток 8 мм горячеоцинкованный,Устройства молниезащиты
DKC,2ART503,"Наконечник-гильза 8 мм с изолир.фланцем 0,75 кв.ммсерый (НШВИ) (100шт)",Наконечники штыревые
DKC,121950,Труба гофрированная двустенная 50 мм с протяжкой с муфтой красная (100м),Трубы гибкие двустенные
DKC,121963,Труба гибкая двустенная 63 мм с протяжкой с муфтой красная (50м),Трубы гибкие двустенные
DKC,121911,Труба гофрированная двустенная 110 мм с протяжкой с муфтой красная (50м),Трубы гибкие двустенные
DKC,121963100,Труба гофрированная двустенная 63 мм с протяжкой с муфтой красная (100м),Трубы гибкие двустенные
DKC,TUB1501FL,Трубочка прозрачная для гибкой маркировки 1.5-2.5мм длина 15мм,Маркировочные изделия
DKC,NUTFL15,"Маркировка для провода, гибкая, для трубочек. 4х15мм. Белая (70 шт на 1 листе)",Расходные материалы для систем маркировки
DKC,02140,"Дин-рейка перфорированная OMEGA 3F, 35х7,5мм.",DIN-рейки и аксессуары к ним
DKC,ZCBC04GR,Клемма винтовая 4мм.кв. серая,Клеммы на DIN-рейку
DKC,ZCBC02GR,Клемма винтовая 2.5мм.кв. серая,Клеммы на DIN-рейку
DKC,63920,Труба гладкая жесткая ПВХ 20 мм легкая серая (3м),Трубы жесткие
DKC,53700,Коробка распределительная 80х80х40мм IP44 с кабельными вводами,Коробки распределительные наружный монтаж
DKC,NUTB1051,"Маркировка для клемм ДКС, жесткая, 5х10мм. Период 5мм. Белая (100 шт на 1 листе)",Расходные материалы для систем маркировки
DKC,NUPUTUK0510,"Маркировка для клемм, жесткая, 5х10мм. Период 5мм. Белая (100 шт на 1 листе)",Расходные материалы для систем маркировки
DKC,CM101000HDZ,Гайка М10 с насечкой препятствующей откручиванию HDZ,Метизы и крепежные изделия для кабеленесущих систем
DKC,2ART507,"Наконечник-гильза 12 мм с изолир.фланцем 4,00     кв.мм серый (НШВИ) (100шт)",Наконечники штыревые
DKC,2ART506,"Наконечник-гильза 10 мм с изолир.фланцем 2,50     кв.мм синий (НШВИ) (100шт)",Наконечники штыревые
