Бренд,Артикул,Наименование,Категория (конечная)
IEK,CTG20-16-K41-100I,Труба гофрированная ПВХ 16мм с протяжкой серая (100м),Трубы ПВХ
IEK,UZMA-BIK-Y134-S,Бирка кабельная У-134 квадрат 55х55 мм,Маркировка шкафов
IEK,YZN10-002-K03,Клемма ЗНИ-2.5 мм.кв. серая без маркировки,Клеммы на DIN-рейку
IEK,UKZ-001-413,Клемма СМК 222-413 строительно-монтажная,Строительно-монтажные клеммы и скрутки
IEK,YZN10-006-K03,Клемма ЗНИ-6 мм.кв. серый,Клеммы на DIN-рейку
IEK,UKZ-001-415,Клемма СМК 222-415 строительно-монтажная,Строительно-монтажные клеммы и скрутки
IEK,UZV3-003-04,Клеммник ЗВИ-3 1.0-2.5мм.кв. 12пар,Строительно-монтажные клеммы и скрутки
IEK,UNP40-006-04-04,Наконечник медный луженый ТМЛ 6-6-4 JG-6,Наконечники под винт (болт)
IEK,UKZ-001-412,Клемма СМК 222-412 строительно-монтажная,Строительно-монтажные клеммы и скрутки
IEK,UZV3-005-04,Клеммник ЗВИ-5 1.5-4мм.кв. 12пар,Строительно-монтажные клеммы и скрутки
IEK,UZV3-010-06,Клеммник ЗВИ-10 2.5-6мм.кв. 12пар,Строительно-монтажные клеммы и скрутки
IEK,UNP40-025-07-08,Наконечник медный луженый ТМЛ 25-8.2-7 8 JG-25,Наконечники под винт (болт)
IEK,UNP40-016-06-08,Наконечник медный луженый ТМЛ 16-8.2-6 8 JG-16,Наконечники под винт (болт)
IEK,YZN10-004-K03,Клемма ЗНИ-4 мм.кв. серый,Клеммы на DIN-рейку
IEK,UZMA-BIK-Y136-T,Бирка кабельная У-136 треугольник 55х55х55 мм,Маркировка шкафов
IEK,UIZ-20-10-K02,Изолента ПВХ черная 19мм 20м,Изолента ПВХ
IEK,YSA20-10-11-54-K41,Сальник PG-11 диаметр кабеля 7-9мм IP54,Сальники и сальниковые панели
IEK,YSA20-14-16-54-K41,Сальник PG-16 диаметр кабеля 9-13мм IP54,Сальники и сальниковые панели
IEK,YXD10,Ограничитель на DIN-рейку металл,DIN-рейки и аксессуары к ним
IEK,YSA20-18-21-54-K41,Сальник PG-21 диаметр кабеля 15-18мм IP54,Сальники и сальниковые панели
IEK,YNN10-69-8D-K07,Шина нулевая на DIN-изолятор ШНИ-6х9-8-Д-С,Клеммные блоки и нулевые шины
IEK,YSA10-18-25-68-K02,Сальник MG-25 диаметр кабеля 13-18мм IP68,Сальники и сальниковые панели
IEK,YDN10-0030,DIN-рейка 30см оцинкованная,DIN-рейки и аксессуары к ним
IEK,MVA20-1-010-C,Выключатель автоматический однополюсный 10А C ВА47-29 4.5кА,Автоматические выключатели в модульном исполнении
IEK,MVA20-1-020-C,Выключатель автоматический однополюсный 20А С ВА47-29 4.5кА,Автоматические выключатели в модульном исполнении
IEK,MVA20-1-006-C,Выключатель автоматический однополюсный 6А C ВА47-29 4.5кА,Автоматические выключатели в модульном исполнении
IEK,MVA20-3-025-C,Выключатель автоматический трехполюсный 25А C ВА47-29 4.5кА,Автоматические выключатели в модульном исполнении
IEK,MVA20-1-025-C,Выключатель автоматический однополюсный 25А C ВА47-29 4.5кА,Автоматические выключатели в модульном исполнении
IEK,MVA20-1-016-C,Выключатель автоматический однополюсный 16А C ВА47-29 4.5кА,Автоматические выключатели в модульном исполнении
IEK,YDN10-00100,DIN-рейка 10см оцинкованная,DIN-рейки и аксессуары к ним
IEK,YNN10-69-12D-K07,Шина нулевая на DIN-изолятор ШНИ-6х9-12-Д-С,Клеммные блоки и нулевые шины
IEK,YSA10-10-16-68-K02,Сальник MG-16 диаметр кабеля 6-10мм IP68,Сальники и сальниковые панели
IEK,YSA10-14-20-68-K02,Сальник MG-20 диаметр кабеля 10-14мм IP68,Сальники и сальниковые панели
IEK,YSA20-12-13-54-K41,Сальник PG-13.5 диаметр кабеля 7-11мм IP54,Сальники и сальниковые панели
IEK,MAD22-5-016-C-30,Выключатель автоматический дифференциальный АВДТ-32 1п+N 16А 30мА С(Электронный),Автоматические выключатели дифференциального тока
IEK,YPC30-MOLNI-2-110,Знак безопасности Молния 50х50х50 треугольник,Знаки безопасности
IEK,YPC20-ZAZEM-1-096,Знак безопасности Заземление 30х30,Знаки безопасности
IEK,CLP1M-N-8-2,Гайка со стопорным буртом М8,Метизы и крепежные изделия для кабеленесущих систем
IEK,CTG20-25-K02-050-1,Труба гофрированная ПНД 25 мм с протяжкой черная (50м),Трубы ПНД
IEK,UZA-11-D01-D10,Зажим ответвительный ЗОИ 16-70/1.5-10,Арматура для монтажа СИП
DKC,51020,Держатель с защелкой 20 мм для труб,Держатели и крепления для труб
DKC,51025,Держатель с защелкой 25 мм для труб,Держатели и крепления для труб
DKC,51032,Держатель с защелкой 32 мм для труб,Держатели и крепления для труб
DKC,51016,Держатель с защелкой 16 мм для труб,Держатели и крепления для труб
DKC,53355,Скоба металлическая 19мм двухлапковая оцинкованная,Скобы металлические
DKC,51120,Держатель двухкомпонентный 20 мм для труб,Держатели и крепления для труб
DKC,91916,Труба гофрированная ПВХ 16 мм с протяжкой легкая серая (100м),Трубы ПВХ
DKC,53344,Держатель оцинкованный односторонний 25-26мм,Скобы металлические
DKC,51316,Держатель для труб 16 мм с защелкой и дюбелем,Аксессуары к кабеленесущим системам
DKC,71916,Труба гофрированная ПНД 16 мм с протяжкой оранжевая (100м),Трубы ПНД
DKC,71725,Труба гофрированная ПНД 25 мм с протяжкой черная (50м),Трубы ПНД
DKC,51325,Держатель для труб 25 мм с защелкой и дюбелем,Аксессуары к кабеленесущим системам
DKC,51200,Держатель с хомутиком 16-32 мм для труб,Держатели и крепления для труб
DKC,91932,Труба гофрированная ПВХ 32 мм с протяжкой легкая серая (25м),Трубы ПВХ
